Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
65;255.79;0.74;73.84;1358.00;
100;775.18;0.60;60.24;21826.40;
171;4847.46;0.80;80.47;2217.00;
14;2.64;0.32;31.66;1052.00;
29;19.67;0.58;57.91;932.40;
100;998.86;0.54;53.56;11397.80;
137;2238.09;0.51;50.64;35375.40;
150;2770.25;0.55;55.33;14456.60;
200;8643.67;0.57;56.50;16632.20;
Parowanie = 0.75; Alfa = 3; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.47;0.11;11.11;10.00;
8;0.66;0.17;17.39;20.00;
9;0.87;0.10;9.52;10.00;
10;1.15;0.03;3.30;7.00;
11;1.44;0.06;5.77;9.00;
12;1.92;0.09;9.49;16.80;
13;2.24;0.22;21.84;38.00;
5;0.22;0.23;22.50;45.00;
6;0.32;0.03;2.82;10.00;
7;0.46;0.03;2.59;15.00;
8;0.64;0.01;1.08;10.00;
9;1.30;0.04;4.00;55.00;
10;1.67;0.01;0.50;10.00;
11;2.97;0.00;0.36;10.00;
12;1.78;0.02;1.73;65.00;
13;2.41;0.02;2.31;115.00;
17;7.05;0.47;46.75;36.00;
34;31.30;0.47;47.20;607.00;
65;220.52;0.33;32.59;599.40;
100;884.06;0.31;30.61;11091.20;
171;5187.11;0.44;43.86;1208.40;
14;2.68;0.15;14.84;493.00;
29;25.96;0.07;7.33;118.00;
100;1191.54;0.30;29.94;6372.20;
137;2086.21;0.29;28.57;19958.80;
150;3756.10;0.31;31.26;8167.00;
200;9424.45;0.28;28.15;8287.40;
Parowanie = 0.75; Alfa = 5; Beta = 2; Stala = 5; 
5;0.06;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.88;0.19;19.05;20.00;
10;0.12;0.00;0.00;0.00;
11;1.45;0.17;16.67;26.00;
12;1.79;0.48;48.02;85.00;
13;2.16;0.54;54.02;94.00;
5;0.21;0.17;17.50;35.00;
6;0.31;0.14;14.08;50.00;
7;0.45;0.15;14.66;85.00;
8;0.64;0.17;17.30;160.00;
9;0.84;0.12;12.36;170.00;
10;1.13;0.13;13.10;260.00;
11;1.41;0.19;18.92;525.00;
12;1.77;0.15;15.27;575.00;
13;2.17;0.15;14.54;725.00;
17;6.98;0.48;48.05;37.00;
34;31.16;0.94;94.40;1214.00;
65;303.76;1.93;192.77;3545.00;
100;783.04;1.69;168.88;61184.40;
171;3589.53;3.04;304.17;8379.80;
14;2.67;0.66;66.02;2194.00;
29;19.89;1.05;104.60;1684.00;
100;812.35;1.56;156.39;33283.60;
137;1925.17;1.97;197.36;137858.80;
150;2685.57;2.23;222.81;58219.00;
200;7347.29;2.46;245.98;72408.80;
Parowanie = 0.75; Alfa = 5; Beta = 3; Stala = 5; 
5;0.21;0.11;11.22;11.00;
6;0.32;0.11;11.02;13.00;
7;0.47;0.11;11.11;10.00;
8;0.66;0.11;11.30;13.00;
9;0.10;0.00;0.00;0.00;
10;1.15;0.33;33.02;70.00;
11;1.44;0.35;35.26;55.00;
12;1.80;0.33;33.33;59.00;
13;2.20;0.29;28.74;50.00;
5;0.21;0.10;10.00;20.00;
6;0.32;0.04;4.23;15.00;
7;0.47;0.09;8.62;50.00;
8;0.65;0.03;2.70;25.00;
9;0.86;0.16;16.36;225.00;
10;1.13;0.04;4.03;80.00;
11;1.55;0.09;9.19;255.00;
12;1.93;0.03;3.19;120.00;
13;2.20;0.02;2.21;110.00;
17;6.96;1.35;135.06;104.00;
34;31.11;0.77;77.37;995.00;
65;223.83;0.89;89.28;1641.80;
100;799.34;0.91;90.80;32898.40;
171;3934.09;1.49;149.25;4111.80;
14;2.69;0.79;78.51;2609.00;
29;19.92;0.36;36.34;585.00;
100;728.83;0.96;95.59;20342.40;
137;1912.21;1.01;100.59;70262.20;
150;2794.93;1.00;99.65;26038.80;
200;6213.46;1.06;105.82;31151.00;
Parowanie = 0.75; Alfa = 5; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.33;0.17;16.95;20.00;
7;0.49;0.06;5.56;5.00;
8;0.66;0.04;4.35;5.00;
9;0.88;0.10;9.52;10.00;
10;1.15;0.22;21.70;46.00;
11;1.45;0.06;6.41;10.00;
12;1.81;0.15;14.69;26.00;
13;2.23;0.36;36.21;63.00;
5;0.07;0.00;0.00;0.00;
6;0.32;0.17;16.90;60.00;
7;0.47;0.16;16.38;95.00;
8;0.66;0.19;19.46;180.00;
9;0.96;0.01;1.45;20.00;
10;1.13;0.13;13.35;265.00;
11;1.43;0.04;4.14;115.00;
12;1.80;0.15;15.27;575.00;
13;2.65;0.04;3.51;175.00;
17;7.09;0.68;67.53;52.00;
34;34.43;0.31;30.56;393.00;
65;224.83;0.47;47.46;872.80;
100;782.96;0.45;44.96;16290.60;
171;4097.26;0.61;61.09;1683.00;
14;2.69;0.19;19.08;634.00;
29;20.13;0.23;22.73;366.00;
100;816.21;0.40;39.58;8423.00;
137;2070.80;0.40;39.56;27636.00;
150;2694.57;0.46;46.47;12143.60;
200;7973.28;0.43;43.40;12776.00;
