Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.31;0.03;2.82;10.00;
7;0.50;0.03;2.59;15.00;
8;0.71;0.14;13.51;125.00;
9;1.27;0.02;1.82;25.00;
10;1.11;0.01;1.26;25.00;
11;1.95;0.04;4.32;120.00;
12;1.96;0.01;1.46;55.00;
13;2.19;0.02;1.81;90.00;
17;12.02;0.03;2.60;2.00;
34;31.26;0.22;22.24;286.00;
65;224.31;0.26;25.50;469.00;
100;890.45;0.38;38.11;13806.80;
171;4460.67;0.44;43.87;1208.60;
14;3.97;0.09;8.91;296.00;
29;24.15;0.16;16.02;258.00;
100;1068.54;0.30;29.64;6308.60;
137;3295.65;0.29;29.32;20479.60;
150;4944.31;0.27;27.45;7173.00;
200;8025.75;0.29;29.12;8573.20;
Parowanie = 0.25; Alfa = 5; Beta = 2; Stala = 5; 
5;0.21;0.03;3.06;3.00;
6;0.32;0.15;15.25;18.00;
7;0.06;0.00;0.00;0.00;
8;0.66;0.17;17.39;20.00;
9;0.87;0.33;33.33;35.00;
10;1.14;1.11;111.32;236.00;
11;1.43;0.35;35.26;55.00;
12;1.81;0.59;58.76;104.00;
13;2.22;0.49;48.85;85.00;
5;0.21;0.12;12.50;25.00;
6;0.32;0.03;2.82;10.00;
7;0.47;0.03;3.45;20.00;
8;0.65;0.10;10.27;95.00;
9;0.86;0.17;17.09;235.00;
10;1.12;0.06;6.05;120.00;
11;1.42;0.15;14.95;415.00;
12;1.76;0.11;10.76;405.00;
13;2.18;0.05;5.32;265.00;
17;13.38;1.18;118.18;91.00;
34;31.16;0.78;77.92;1002.00;
65;300.29;1.46;146.17;2688.00;
100;739.37;1.70;170.04;61605.40;
171;4178.47;3.01;300.84;8288.20;
14;2.68;0.55;55.43;1842.00;
29;19.80;1.11;110.99;1787.00;
100;899.47;1.82;181.57;38641.20;
137;1846.50;2.19;219.23;153135.60;
150;2690.53;2.15;214.51;56050.20;
200;6456.57;2.17;216.55;63746.60;
Parowanie = 0.25; Alfa = 5; Beta = 3; Stala = 5; 
5;0.22;0.03;3.06;3.00;
6;0.32;0.15;15.25;18.00;
7;0.47;0.06;5.56;5.00;
8;0.66;0.04;4.35;5.00;
9;0.87;0.19;19.05;20.00;
10;1.13;0.15;15.09;32.00;
11;1.43;0.08;8.33;13.00;
12;1.81;0.13;12.99;23.00;
13;2.18;0.20;20.11;35.00;
5;0.21;0.07;7.50;15.00;
6;0.31;0.10;9.86;35.00;
7;0.46;0.08;7.76;45.00;
8;0.65;0.19;18.92;175.00;
9;0.86;0.07;7.27;100.00;
10;1.13;0.03;2.77;55.00;
11;1.41;0.15;15.50;430.00;
12;1.75;0.14;13.81;520.00;
13;2.19;0.14;13.64;680.00;
17;5.31;0.55;54.55;42.00;
34;30.95;0.45;45.41;584.00;
65;244.30;0.85;84.84;1560.20;
100;724.11;0.98;98.09;35537.80;
171;3919.10;1.50;150.04;4133.60;
14;2.64;0.28;28.23;938.00;
29;19.73;0.76;75.65;1218.00;
100;727.95;0.85;84.53;17990.60;
137;2381.83;0.98;98.28;68654.00;
150;2453.30;0.98;97.66;25519.20;
200;6682.76;1.01;100.90;29702.00;
Parowanie = 0.25; Alfa = 5; Beta = 5; Stala = 5; 
5;0.22;0.03;3.06;3.00;
6;0.04;0.00;0.00;0.00;
7;0.48;0.06;5.56;5.00;
8;0.67;0.26;26.09;30.00;
9;0.88;0.10;9.52;10.00;
10;1.14;0.15;14.62;31.00;
11;1.44;0.15;15.38;24.00;
12;1.82;0.15;15.25;27.00;
13;2.23;0.21;20.69;36.00;
5;0.21;0.12;12.50;25.00;
6;0.33;0.14;14.08;50.00;
7;0.47;0.15;14.66;85.00;
8;0.65;0.03;2.70;25.00;
9;0.87;0.17;17.09;235.00;
10;1.13;0.08;8.31;165.00;
11;1.56;0.05;4.50;125.00;
12;1.79;0.05;5.18;195.00;
13;2.20;0.02;2.01;100.00;
17;7.37;0.41;41.30;31.80;
34;31.43;0.44;44.09;567.00;
65;241.85;0.56;55.80;1026.20;
100;829.92;0.55;55.33;20046.00;
171;4675.58;0.62;61.52;1694.80;
14;2.67;0.21;21.31;708.00;
29;20.12;0.43;42.73;688.00;
100;862.20;0.37;37.03;7880.60;
137;2626.59;0.45;45.28;31628.60;
150;3533.88;0.42;42.21;11028.20;
200;8431.61;0.43;43.19;12714.40;
Parowanie = 0.5; Alfa = 1; Beta = 2; Stala = 5; 
