 Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.52;0.00;0.00;0.00;
9;0.26;0.00;0.00;0.00;
10;1.45;0.01;0.76;15.00;
11;2.44;0.01;0.72;20.00;
12;2.68;0.01;0.93;35.00;
13;3.25;0.01;0.50;25.00;
17;9.27;0.06;6.49;5.00;
34;68.24;0.11;11.31;145.40;
65;507.84;0.09;9.19;169.00;
100;2214.65;0.15;14.88;5391.40;
171;7815.10;0.24;23.54;648.60;
14;2.94;0.03;2.65;88.00;
29;26.01;0.08;8.45;136.00;
100;2346.82;0.11;11.07;2356.60;
137;6228.09;0.14;13.78;9625.00;
150;7860.24;0.12;11.61;3033.00;
200;18221.15;0.11;11.16;3284.00;
Parowanie = 0.25; Alfa = 5; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.09;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.36;0.00;0.00;0.00;
10;0.47;0.00;0.00;0.00;
11;1.98;0.02;1.92;3.00;
12;2.35;0.04;3.95;7.00;
13;2.65;0.01;1.15;2.00;
5;0.09;0.00;0.00;0.00;
6;0.16;0.00;0.00;0.00;
7;0.47;0.03;3.45;20.00;
8;0.21;0.00;0.00;0.00;
9;1.12;0.00;0.00;0.00;
10;1.45;0.03;2.52;50.00;
11;1.85;0.01;1.08;30.00;
12;2.31;0.01;0.93;35.00;
13;2.74;0.01;1.10;55.00;
17;8.37;0.13;12.99;10.00;
34;95.91;0.11;11.49;147.80;
65;559.82;0.06;6.24;114.80;
100;1803.49;0.55;55.16;19983.60;
171;8359.15;0.23;23.01;634.00;
14;5.30;0.02;1.53;51.00;
29;40.56;0.09;9.43;151.80;
100;2436.18;0.10;9.78;2081.60;
137;6145.80;0.10;10.15;7092.80;
150;7376.06;0.14;13.53;3535.00;
200;18447.31;0.15;14.51;4271.00;
Parowanie = 0.25; Alfa = 5; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.20;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.19;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.42;0.02;1.92;3.00;
12;0.72;0.00;0.00;0.00;
13;3.01;0.04;4.02;7.00;
5;0.05;0.00;0.00;0.00;
6;0.28;0.00;0.00;0.00;
7;0.16;0.00;0.00;0.00;
8;0.64;0.01;1.08;10.00;
9;0.93;0.01;0.73;10.00;
10;1.12;0.02;1.51;30.00;
11;2.25;0.01;1.08;30.00;
12;4.53;0.01;0.93;35.00;
13;2.62;0.01;1.30;65.00;
17;6.43;0.05;5.19;4.00;
34;34.38;0.00;0.00;0.00;
65;440.54;0.10;9.76;179.40;
100;2095.36;0.23;22.83;8272.60;
171;7821.10;0.24;24.02;661.80;
14;3.84;0.05;4.89;162.40;
29;33.68;0.13;12.61;203.00;
100;2050.10;0.10;9.79;2083.20;
137;5969.13;0.09;8.91;6226.20;
150;6908.16;0.12;11.67;3049.60;
200;17236.67;0.16;16.22;4775.40;
Parowanie = 0.25; Alfa = 5; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.11;0.00;0.00;0.00;
8;0.21;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.45;0.03;2.56;4.00;
12;0.55;0.00;0.00;0.00;
13;2.68;0.02;2.30;4.00;
5;0.05;0.00;0.00;0.00;
6;0.13;0.00;0.00;0.00;
7;0.19;0.00;0.00;0.00;
8;0.21;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;1.24;0.01;0.50;10.00;
11;1.70;0.01;0.72;20.00;
12;3.55;0.01;0.53;20.00;
13;3.50;0.01;0.50;25.00;
17;10.59;0.03;2.60;2.00;
34;53.53;0.13;13.30;171.00;
65;446.87;0.10;9.67;177.80;
100;2150.26;0.11;11.46;4151.80;
171;7097.44;0.24;24.23;667.40;
14;2.70;0.03;2.65;88.00;
29;22.21;0.07;7.33;118.00;
100;1934.93;0.11;10.92;2323.80;
137;4830.68;0.14;13.94;9737.20;
150;7056.56;0.12;11.81;3086.00;
200;16958.85;0.13;13.41;3947.60;
Parowanie = 0.5; Alfa = 1; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.15;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.52;0.00;0.00;0.00;
