 Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.15;0.00;0.00;0.00;
9;0.28;0.00;0.00;0.00;
10;0.25;0.00;0.00;0.00;
11;1.44;0.01;1.28;2.00;
12;2.17;0.02;2.26;4.00;
13;2.45;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.42;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;1.34;0.01;1.01;20.00;
11;1.42;0.01;0.90;25.00;
12;2.12;0.01;1.06;40.00;
13;3.03;0.01;0.80;40.00;
17;7.79;0.36;36.36;28.00;
34;40.53;0.17;17.50;225.00;
65;344.94;0.11;10.76;197.80;
100;1238.88;0.14;13.98;5063.40;
171;5896.85;0.25;24.63;678.60;
14;3.49;0.03;2.65;88.00;
29;26.04;0.11;11.12;179.00;
100;1119.06;0.12;11.78;2506.00;
137;3213.95;0.12;12.10;8449.20;
150;4260.76;0.13;13.10;3422.20;
200;9402.86;0.13;12.71;3741.20;
Parowanie = 0.75; Alfa = 5; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;1.04;0.05;4.76;5.00;
10;0.13;0.00;0.00;0.00;
11;1.72;0.02;1.92;3.00;
12;2.16;0.07;6.78;12.00;
13;2.18;0.06;5.75;10.00;
5;0.06;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.14;0.00;0.00;0.00;
8;0.69;0.01;1.08;10.00;
9;0.85;0.02;1.82;25.00;
10;1.57;0.02;1.76;35.00;
11;1.98;0.02;1.62;45.00;
12;2.66;0.01;0.93;35.00;
13;2.36;0.02;1.50;75.00;
17;6.97;0.12;11.69;9.00;
34;40.46;0.22;22.40;288.00;
65;313.82;0.15;14.82;272.60;
100;1184.62;0.19;18.95;6864.60;
171;5164.70;0.23;22.97;632.80;
14;3.22;0.15;15.29;508.00;
29;26.14;0.19;18.51;298.00;
100;1288.53;0.12;11.61;2469.80;
137;2993.85;0.16;16.25;11353.80;
150;3872.51;0.16;15.75;4116.00;
200;9321.72;0.15;14.58;4291.00;
Parowanie = 0.75; Alfa = 5; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.59;0.01;1.28;2.00;
12;2.16;0.02;1.69;3.00;
13;2.65;0.02;2.30;4.00;
5;0.02;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.33;0.00;0.00;0.00;
8;0.20;0.00;0.00;0.00;
9;1.03;0.01;1.09;15.00;
10;0.46;0.00;0.00;0.00;
11;1.42;0.01;0.54;15.00;
12;2.67;0.01;1.06;40.00;
13;2.20;0.01;1.30;65.00;
17;8.46;0.03;2.60;2.00;
34;37.42;0.16;16.41;211.00;
65;317.59;0.13;13.17;242.20;
100;1158.27;0.15;15.24;5521.60;
171;4805.37;0.22;22.04;607.20;
14;3.75;0.05;5.45;181.00;
29;28.22;0.05;5.03;81.00;
100;1214.25;0.14;14.44;3073.00;
137;3088.68;0.10;10.00;6984.80;
150;4031.12;0.14;14.46;3779.20;
200;8640.65;0.15;14.81;4359.80;
Parowanie = 0.75; Alfa = 5; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.45;0.03;2.56;4.00;
12;0.37;0.00;0.00;0.00;
13;2.91;0.02;2.30;4.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.20;0.00;0.00;0.00;
9;0.95;0.01;1.09;15.00;
10;1.58;0.02;1.76;35.00;
11;1.69;0.01;1.08;30.00;
12;1.95;0.01;1.20;45.00;
13;2.62;0.01;1.10;55.00;
17;7.82;0.36;36.36;28.00;
34;58.01;0.12;11.68;150.20;
65;305.86;0.12;12.10;222.60;
100;1165.36;0.14;14.27;5171.20;
171;4738.77;0.25;25.47;701.80;
14;2.69;0.03;2.65;88.00;
29;24.22;0.07;6.96;112.00;
100;1118.64;0.11;10.84;2307.20;
137;2771.65;0.12;11.74;8200.60;
150;3641.81;0.16;15.58;4071.00;
200;9363.95;0.14;13.97;4113.20;
