Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
34;34.09;0.11;11.43;147.00;
65;273.53;0.15;14.74;271.00;
100;1099.64;0.13;13.39;4849.60;
171;4456.09;0.23;23.34;643.00;
14;2.97;0.08;7.52;250.00;
29;25.94;0.06;6.09;98.00;
100;972.98;0.12;12.47;2654.20;
137;2453.15;0.12;11.75;8205.40;
150;3652.81;0.14;13.55;3541.40;
200;7662.17;0.16;15.93;4689.20;
Parowanie = 0.75; Alfa = 3; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.66;0.09;8.70;10.00;
9;0.10;0.00;0.00;0.00;
10;1.14;0.00;0.47;1.00;
11;1.60;0.01;1.28;2.00;
12;0.19;0.00;0.00;0.00;
13;2.92;0.03;3.45;6.00;
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.29;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;1.78;0.01;0.50;10.00;
11;1.44;0.01;0.90;25.00;
12;2.28;0.01;0.66;25.00;
13;3.05;0.01;0.70;35.00;
17;7.08;0.13;12.99;10.00;
34;40.74;0.18;17.73;228.00;
65;286.11;0.12;12.25;225.20;
100;1073.43;0.13;12.93;4686.20;
171;4339.39;0.25;25.34;698.00;
14;3.86;0.05;5.45;181.00;
29;20.17;0.15;15.03;242.00;
100;869.13;0.13;13.48;2868.60;
137;3330.50;0.11;10.56;7378.20;
150;3075.61;0.14;14.48;3783.20;
200;8145.95;0.14;13.61;4007.40;
Parowanie = 0.75; Alfa = 5; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.87;0.10;9.52;10.00;
10;0.12;0.00;0.00;0.00;
11;1.59;0.02;1.92;3.00;
12;1.82;0.03;2.82;5.00;
13;2.19;0.11;11.49;20.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.45;0.03;2.59;15.00;
8;0.70;0.01;1.08;10.00;
9;1.01;0.01;1.09;15.00;
10;1.13;0.01;1.01;20.00;
11;1.57;0.01;0.54;15.00;
12;2.13;0.02;2.26;85.00;
13;2.60;0.01;1.40;70.00;
17;7.02;0.22;22.08;17.00;
34;37.55;0.15;14.70;189.00;
65;325.44;0.19;19.26;354.20;
100;1095.84;0.15;14.75;5344.00;
171;4377.55;0.28;27.58;759.80;
14;2.97;0.12;12.13;403.00;
29;24.18;0.12;11.80;190.00;
100;1081.70;0.14;13.87;2952.20;
137;2723.48;0.16;16.02;11190.20;
150;3732.03;0.14;13.54;3538.60;
200;8180.61;0.14;14.31;4213.40;
Parowanie = 0.75; Alfa = 5; Beta = 3; Stala = 5; 
5;0.21;0.11;11.22;11.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.66;0.04;4.35;5.00;
9;0.10;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.44;0.04;4.49;7.00;
12;1.99;0.03;2.82;5.00;
13;2.68;0.02;2.30;4.00;
5;0.02;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.15;0.00;0.00;0.00;
8;0.20;0.00;0.00;0.00;
9;0.94;0.01;1.09;15.00;
10;0.45;0.00;0.00;0.00;
11;1.42;0.01;0.54;15.00;
12;2.81;0.01;1.20;45.00;
13;2.19;0.01;1.30;65.00;
17;6.24;0.25;24.68;19.00;
34;37.82;0.12;11.59;149.00;
65;250.34;0.12;11.51;211.60;
100;1066.25;0.14;14.43;5227.40;
171;4735.87;0.26;25.50;702.60;
14;3.51;0.03;2.65;88.00;
29;26.22;0.05;4.66;75.00;
100;936.41;0.12;12.14;2584.00;
137;2480.76;0.13;13.19;9216.20;
150;3396.95;0.12;12.48;3261.20;
200;7501.85;0.13;13.39;3940.20;
Parowanie = 0.75; Alfa = 5; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.66;0.04;4.35;5.00;
9;0.97;0.05;4.76;5.00;
10;0.13;0.00;0.00;0.00;
11;1.60;0.01;1.28;2.00;
12;0.55;0.00;0.00;0.00;
13;3.84;0.03;3.45;6.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.78;0.02;1.62;15.00;
9;1.12;0.01;0.73;10.00;
10;1.58;0.02;1.51;30.00;
11;1.56;0.01;0.72;20.00;
12;1.93;0.01;1.33;50.00;
13;2.83;0.00;0.20;10.00;
17;8.52;0.22;22.08;17.00;
34;34.77;0.13;13.06;168.00;
65;426.68;0.17;16.60;305.20;
100;978.66;0.14;13.94;5050.80;
171;3971.49;0.26;25.84;711.80;
14;2.70;0.03;2.65;88.00;
29;20.28;0.10;10.00;161.00;
100;861.06;0.13;12.82;2728.60;
137;2766.64;0.13;13.16;9195.80;
150;3347.82;0.14;14.22;3714.60;
200;7387.17;0.15;14.52;4275.40;
Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.09;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.33;0.00;0.00;0.00;
10;0.22;0.00;0.00;0.00;
11;1.35;0.00;0.00;0.00;
12;2.00;0.00;0.00;0.00;
13;5.29;0.02;1.72;3.00;
5;0.02;0.00;0.00;0.00;
6;0.06;0.00;0.00;0.00;
7;0.09;0.00;0.00;0.00;
8;0.12;0.00;0.00;0.00;
9;1.58;0.01;0.73;10.00;
10;1.71;0.01;1.01;20.00;
11;1.65;0.01;0.72;20.00;
12;2.83;0.01;0.80;30.00;
13;2.63;0.01;1.00;50.00;
17;5.33;0.06;6.49;5.00;
34;35.76;0.00;0.00;0.00;
65;740.13;0.10;9.82;180.60;
Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.41;0.00;0.00;0.00;
10;0.32;0.00;0.00;0.00;
11;0.43;0.00;0.00;0.00;
12;3.20;0.00;0.00;0.00;
13;3.11;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.06;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.83;0.01;1.08;10.00;
9;2.15;0.01;1.09;15.00;
10;2.40;0.01;1.01;20.00;
11;2.22;0.01;1.08;30.00;
12;1.66;0.01;1.06;40.00;
13;5.64;0.01;0.90;45.00;
17;7.44;0.05;5.19;4.00;
34;52.31;0.00;0.00;0.00;
65;501.10;0.10;10.03;184.40;
Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.09;0.00;0.00;0.00;
8;0.25;0.00;0.00;0.00;
9;0.17;0.00;0.00;0.00;
10;0.32;0.00;0.00;0.00;
11;2.10;0.01;1.28;2.00;
12;2.82;0.00;0.00;0.00;
13;3.30;0.02;1.72;3.00;
5;0.02;0.00;0.00;0.00;
6;0.12;0.00;0.00;0.00;
7;0.41;0.00;0.00;0.00;
8;0.64;0.00;0.00;0.00;
9;0.85;0.00;0.00;0.00;
10;1.94;0.01;1.26;25.00;
11;1.43;0.01;1.44;40.00;
12;3.08;0.01;1.20;45.00;
13;2.61;0.02;1.60;80.00;
17;7.74;0.05;5.19;4.00;
34;62.25;0.09;9.41;121.00;
Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.22;0.00;0.00;0.00;
8;0.24;0.00;0.00;0.00;
9;0.17;0.00;0.00;0.00;
10;0.11;0.00;0.00;0.00;
11;2.00;0.01;1.28;2.00;
12;1.83;0.00;0.00;0.00;
13;3.26;0.02;2.30;4.00;
5;0.06;0.00;0.00;0.00;
6;0.09;0.00;0.00;0.00;
7;0.27;0.00;0.00;0.00;
8;0.24;0.00;0.00;0.00;
9;1.84;0.01;0.73;10.00;
10;1.82;0.02;1.76;35.00;
11;1.67;0.01;1.26;35.00;
12;2.38;0.01;1.06;40.00;
13;3.35;0.01;1.40;70.00;
17;7.23;0.06;6.49;5.00;
34;101.16;0.01;1.37;17.60;
Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.06;0.00;0.00;0.00;
7;0.09;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.25;0.00;0.00;0.00;
10;0.21;0.00;0.00;0.00;
11;1.78;0.01;1.28;2.00;
12;0.45;0.00;0.00;0.00;
13;5.03;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.24;0.00;0.00;0.00;
7;0.33;0.00;0.00;0.00;
8;0.61;0.00;0.00;0.00;
9;0.90;0.00;0.00;0.00;
10;1.55;0.01;1.01;20.00;
11;3.97;0.01;0.72;20.00;
12;2.35;0.01;1.46;55.00;
13;2.69;0.01;1.30;65.00;
17;6.16;0.09;9.09;7.00;
34;100.50;0.01;1.00;12.80;
65;564.84;0.09;9.45;173.80;
100;3360.26;0.13;13.49;4886.60;
