Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.15;0.00;0.00;0.00;
8;0.41;0.00;0.00;0.00;
9;0.27;0.00;0.00;0.00;
10;2.08;0.01;0.50;10.00;
11;2.43;0.01;0.72;20.00;
12;2.67;0.01;0.66;25.00;
13;3.23;0.01;0.50;25.00;
17;9.74;0.03;2.60;2.00;
34;59.83;0.08;8.24;106.00;
65;339.74;0.15;14.94;274.80;
100;1361.31;0.13;12.70;4600.00;
171;4568.85;0.24;24.36;671.20;
14;5.08;0.03;2.65;88.00;
29;50.46;0.09;9.01;145.00;
100;1072.22;0.13;12.93;2752.20;
137;3235.20;0.11;10.70;7470.80;
150;4319.34;0.14;13.97;3649.80;
200;11398.83;0.12;11.51;3388.20;
Parowanie = 0.25; Alfa = 5; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.10;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.73;0.09;8.70;10.00;
9;0.36;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.45;0.03;2.56;4.00;
12;1.81;0.11;10.73;19.00;
13;2.45;0.02;2.30;4.00;
5;0.23;0.07;7.50;15.00;
6;0.32;0.03;2.82;10.00;
7;0.51;0.03;2.59;15.00;
8;0.20;0.00;0.00;0.00;
9;0.43;0.00;0.00;0.00;
10;2.12;0.01;1.01;20.00;
11;1.85;0.01;0.90;25.00;
12;2.12;0.01;1.20;45.00;
13;2.58;0.01;1.10;55.00;
17;6.62;0.26;25.97;20.00;
34;43.75;0.13;13.37;172.00;
65;302.78;0.14;14.48;266.20;
100;1512.83;0.14;13.60;4928.60;
171;4930.93;0.29;29.12;802.20;
14;3.74;0.03;2.65;88.00;
29;22.14;0.14;13.91;224.00;
100;1495.60;0.12;12.09;2572.60;
137;3346.13;0.13;12.50;8735.00;
150;4510.12;0.14;13.87;3623.20;
200;11277.11;0.14;14.19;4176.60;
Parowanie = 0.25; Alfa = 5; Beta = 3; Stala = 5; 
5;0.33;0.03;3.06;3.00;
6;0.07;0.00;0.00;0.00;
7;0.47;0.06;5.56;5.00;
8;0.08;0.00;0.00;0.00;
9;0.85;0.19;19.05;20.00;
10;1.13;0.00;0.47;1.00;
11;1.43;0.02;1.92;3.00;
12;2.05;0.07;6.78;12.00;
13;2.17;0.06;5.75;10.00;
5;0.09;0.00;0.00;0.00;
6;0.32;0.03;2.82;10.00;
7;0.11;0.00;0.00;0.00;
8;0.65;0.01;1.08;10.00;
9;0.95;0.01;1.09;15.00;
10;1.34;0.01;1.01;20.00;
11;1.95;0.01;0.72;20.00;
12;2.96;0.00;0.27;10.00;
13;3.91;0.01;0.70;35.00;
17;10.49;0.21;20.78;16.00;
34;44.24;0.09;9.47;121.80;
65;266.44;0.14;14.15;260.20;
100;1464.32;0.12;11.62;4208.80;
171;5011.52;0.25;25.39;699.60;
14;2.66;0.05;5.24;174.00;
29;29.88;0.08;8.39;135.00;
100;1128.52;0.12;12.44;2648.20;
137;3581.23;0.11;10.84;7570.00;
150;4811.19;0.12;12.21;3191.00;
200;9101.68;0.15;15.07;4435.60;
Parowanie = 0.25; Alfa = 5; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.11;0.00;0.00;0.00;
8;0.66;0.09;8.70;10.00;
9;0.27;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.46;0.03;2.56;4.00;
12;0.19;0.00;0.00;0.00;
13;2.25;0.03;2.87;5.00;
5;0.05;0.00;0.00;0.00;
6;0.13;0.00;0.00;0.00;
7;0.20;0.00;0.00;0.00;
8;0.21;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;0.79;0.00;0.00;0.00;
11;2.54;0.01;0.90;25.00;
12;3.19;0.00;0.27;10.00;
13;3.48;0.01;0.70;35.00;
17;8.56;0.22;22.08;17.00;
34;34.67;0.16;16.49;212.00;
65;422.46;0.17;17.24;317.00;
100;1370.68;0.13;12.71;4606.20;
171;4112.88;0.27;27.14;747.80;
14;2.73;0.03;2.65;88.00;
29;22.31;0.10;9.63;155.00;
100;1159.73;0.13;13.46;2864.40;
137;3136.94;0.12;12.21;8525.60;
150;3099.81;0.14;13.84;3616.00;
200;8444.21;0.13;13.27;3906.80;
Parowanie = 0.5; Alfa = 1; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.28;0.00;0.00;0.00;
7;0.15;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.35;0.00;0.00;0.00;
